"Protein_id","coef","standardized_beta","se","t","p","R_squared","R_squared_adj","resid","CI95_lower","CI95_upper","p_adjusted","symbol","uniprot","label"
"CKAP4__Inflammation_o2csf__NPX",0.0471922844340988,0.0240913755570037,0.0627428253786237,0.752154276593625,0.452134756283042,0.738368573597078,0.736803480318496,1003,-0.0759299675952003,0.170314536463398,0.93423189157376,"CKAP4","Q07065","CKAP4"
"CLUL1__Cardiometabolic_o2csf__NPX",0.00680825424646254,0.00385027822680506,0.0824819275821161,0.0825423755971814,0.93423189157376,0.445104924382622,0.441785512165569,1003,-0.155048669064607,0.168665177557532,0.93423189157376,"CLUL1","Q15846","CLUL1"
"DNMBP__Neurology_o2csf__NPX",0.0105476243186728,0.00870741656422143,0.0449671559065513,0.2345628516198,0.814596014397086,0.649262276553192,0.647159952536528,1001,-0.0776930762488406,0.0987883248861862,0.93423189157376,"DNMBP",NA,"DNMBP"
"ENO1__Neurology_o2csf__NPX",0.0158674587036919,0.00870220615285708,0.0579562886540364,0.273783209246039,0.784307709822354,0.742890031393719,0.741348912700775,1001,-0.0978622938239775,0.129597211231361,0.93423189157376,"ENO1","P06733","ENO1"
"ENO2__Neurology_o2csf__NPX",-0.00462055112434395,-0.00407361328165064,0.0437346972523879,-0.10564955092016,0.915881554475953,0.621300701614062,0.619033041144685,1002,-0.0904426491509061,0.0812015469022182,0.93423189157376,"ENO2","P09104","ENO2"
"FABP3__Cardiometabolic_II_o2csf__NPX",0.0538728731370507,0.0165139204110876,0.0853524275334514,0.631181498803146,0.528065663286216,0.825428869121996,0.824384575218438,1003,-0.113616923993864,0.221362670267965,0.93423189157376,"FABP3","P05413","FABP3"
"GH1__Cardiometabolic_o2csf__NPX",0.109160259868221,0.0363488266800681,0.182244812085141,0.598975952287871,0.549324176379783,0.0608335029422553,0.0552153583935548,1003,-0.248464560964659,0.466785080701101,0.93423189157376,"GH1","P01241","GH1"
"GLO1__Cardiometabolic_o2csf__NPX",-0.0718330110811015,-0.0507665511586653,0.0526136825903394,-1.36529145166301,0.172467594201256,0.647397692158665,0.645288406169584,1003,-0.175078522404287,0.0314125002420836,0.576078762178811,"GLO1","Q04760","GLO1"
"HGF__Inflammation_o2csf__NPX",-0.0988727232464402,-0.0602961256046044,0.0461202729154797,-2.1438017816511,0.0322886700948316,0.798260876082985,0.797054061782385,1003,-0.189376009180618,-0.00836943731226261,0.290598030853485,"HGF","P14210","HGF"
"IL17RB__Inflammation_o2csf__NPX",-0.0298482204119052,-0.0203403001626189,0.070111537842112,-0.425724799805733,0.670399813026759,0.418388500078461,0.414905796486116,1002,-0.167430498362857,0.107734057539047,0.93423189157376,"IL17RB","Q9NRM6","IL17RB"
"MAPT__Neurology_o2csf__NPX",-0.0665030413757678,-0.0255664866866288,0.108236241271767,-0.614424896821642,0.539074211835407,0.559378401967921,0.556737313468228,1001,-0.278898990464994,0.145892907713458,0.93423189157376,"MAPT","P10636","MAPT"
"MMP10__Inflammation_o2csf__NPX",-0.110542565408979,-0.0495558563252524,0.0846752548022885,-1.30548842949559,0.192026254059604,0.632859179489712,0.630660731462704,1002,-0.276703725188571,0.055618594370614,0.576078762178811,"MMP10","P09238","MMP10"
"NRGN__Inflammation_II_o2csf__NPX",0.121594913613645,0.0523888253311658,0.0890624330382838,1.36527724951525,0.172472054824625,0.624494600346928,0.622248306829561,1003,-0.0531751459224071,0.296364973149696,0.576078762178811,"NRGN","Q92686","NRGN"
"PPP3R1__Neurology_o2csf__NPX",-0.0228491094787891,-0.0172625300450659,0.0431969846298949,-0.528951492206151,0.59695636731769,0.728918735615042,0.727293872891456,1001,-0.107616137975486,0.0619179190179076,0.93423189157376,"PPP3R1","P63098","PPP3R1"
"SCRN1__Inflammation_o2csf__NPX",-0.00938805049560202,-0.0055982388328808,0.0769297369131116,-0.122034090747059,0.902896513449233,0.464340851943501,0.461130107799306,1001,-0.160350096967802,0.141573995976598,0.93423189157376,"SCRN1",NA,"SCRN1"
"SMOC1__Oncology_o2csf__NPX",-0.0804873073089952,-0.0652074075066497,0.0416806293666407,-1.93104827187215,0.0537589073718899,0.709527078993378,0.707787720184955,1002,-0.162278637397998,0.0013040227800071,0.32255344423134,"SMOC1","Q9H4F8","SMOC1"
"SNAP25__Neurology_II_o2csf__NPX",0.0211972379123457,0.00982837286861983,0.0804765200093815,0.2633965523096,0.792299155854806,0.644580079774161,0.642449690641938,1001,-0.136724791215335,0.179119267040026,0.93423189157376,"SNAP25","P60880","SNAP25"
"YWHAQ__Inflammation_II_o2csf__NPX",0.103118107930925,0.107417949694793,0.0467174845133249,2.20727012605984,0.0275212287024028,0.396619806525814,0.39300675147507,1002,0.0114427840497691,0.194793431812081,0.290598030853485,"YWHAQ","P27348","YWHAQ"
